Map(399) {
  '0xE0e03ba22E14776DC972a50E6CcA5cEEdb3b972C' => 'Diamond',
  '0xb5EbF7fAC6F40583261758A7347E8EaA41935524' => 'Diamond',
  '0x9325EAfe32Eba5AA10787143Ea5bC3438A7F6d2B' => 'Diamond',
  '0x91BA7d1cB45cB17Ddd5526253a0c791e3d413bC5' => 'Diamond',
  '0x0bc99b862e5545d181Cc7bFA71720712527aCeEe' => 'Diamond',
  '0xa2AB20E4aA2Cfc44231161C005cBF6fD68BF56a9' => 'Diamond',
  '0x27643f4e2B35A18BCD55252e88F13039F4F81927' => 'Diamond',
  '0x852D31705ce7221c9a5d573A66B349cBc8F3D028' => 'Diamond',
  '0x9f5Aa14327fB4b61F6F7f1B205501fD1A66bc183' => 'Diamond',
  '0xeEB07faFcb5761394BE481f03F1048aab0deaDC4' => 'Diamond',
  '0x394C82976a57c4309138c072149Ee57Aea16560b' => 'Diamond',
  '0x6422E2C298a4Ea629Aec041E491C7f55fA39dA41' => 'Diamond',
  '0xb39D022eDF05C31e1981f4F4D8137dDa9C57CFaE' => 'Diamond',
  '0x36db7DF1D5A563D6E707ffc976B46Dd4872A8BF0' => 'Diamond',
  '0xc1eF94C5a6De970Ce6Fb1f4C28af352bA046A63B' => 'Diamond',
  '0x77D63A93C90a9860AB07eE6BC7bc5BecAD1CBfDe' => 'Diamond',
  '0x6629DB6b40057e29d0593D895A350df94DC1e99A' => 'Diamond',
  '0x687670E9C58526D673aa22d6aB355d952819aFDF' => 'Diamond',
  '0x9a1E402D39cb2D49cf23E6767C6458126eA24631' => 'Diamond',
  '0xBC0A24a17CaEd0DBca77e564159c188C7aaaCab7' => 'Diamond',
  '0xBd1eA07bcc208715e099588adD684eD78F3FF3ed' => 'Diamond',
  '0x5Fe9a92531Fe648666551a6cBaE2A7b817249c52' => 'Diamond',
  '0x0Aead38a4f99f8dAe8944d31EB703B6C7CeC4381' => 'Diamond',
  '0x5DE853CB6813f9Aefd25635776139d8C0AAaF77A' => 'Diamond',
  '0xCba9CCD786d6361d73f7105Afa7c5556A883966e' => 'Diamond',
  '0x18A428CE0c31584a21CF8ceFDb8849d8013E1994' => 'Diamond',
  '0x6D6ed67479D02d63A4A0F111A6D76fF93Bb2D23D' => 'Diamond',
  '0x3aF9b992EA26c43f4f3B019A3c5c7FE4E059AF25' => 'Diamond',
  '0xefA168D4231b1eD0711260360647DB6281c1EbBb' => 'Diamond',
  '0xbF45dd1bCa8067769494B935C69763ca29de85a0' => 'Diamond',
  '0xe99dc1864b1bea3EFd8b87d5CEc5b7b65ff23379' => 'Diamond',
  '0x138308323652eDd886A1418A80ee5e74A1bc1503' => 'Diamond',
  '0xcA2dead8B1EEE1B6809169a982eef01ABcE24078' => 'Diamond',
  '0xD8b00122B6CC0d44Fb3198fB675635272d516B7F' => 'Diamond',
  '0x6339A73610969b50f0B91122bB90E231046b112f' => 'Diamond',
  '0x19Ba3eedA313577888C145a5d7053Df05471b460' => 'Diamond',
  '0xE4c140a67A3A95913a6E2FcFc6d6434d94C07641' => 'Diamond',
  '0x426874a11E30F6A9eFCA3715A84d3B5142Fce4BB' => 'Diamond',
  '0x0057BD83a142Da84B6404616C683e21e7Dd6fA5f' => 'Diamond',
  '0x161619839EBbADa5d3C279E1A79C50F7fc4274D6' => 'Diamond',
  '0xc6Cda6a69DDc8200Da1140546dF8E830F5e7827E' => 'Diamond',
  '0x26199b5dD7637D8dDd76fcfe31ec1EaDEe25e275' => 'Diamond',
  '0x3E3F22da9a50D22694c452c5Ec39B907524373b8' => 'Diamond',
  '0x76CeBB65B78987A9291A83dc27f010c2603eC3e5' => 'Diamond',
  '0xDA615562970f622B1E174B335c9e3B2a96264B14' => 'Diamond',
  '0xB6D2e7EfEFce4c13ef98b1A69C0677725B08BabA' => 'Diamond',
  '0xB06e5CE2Fe560FAc1f4C4e7537D60A82d82359E3' => 'Diamond',
  '0x85cf22d065b1F686faa6Afa96C2C5Eb7dc257239' => 'Diamond',
  '0xB6BF464940220C4202CD22674D3D1DA225C9923F' => 'Diamond',
  '0x55E86864ddE83bdd7Ef9F0d1F1765ebbec3A7934' => 'Diamond',
  '0x5D0CbF3ABc8701706B36179BcDB0409aA1e44640' => 'Diamond',
  '0x571061B1BFF2bc8f0967f5eDbafEFFf36c932CDB' => 'Diamond',
  '0xaca3365a1A6DBA0839b3B56219Cf250eBB9F32f1' => 'Diamond',
  '0x66342CDb636aba7b1CcC2F95EFABbC7bA3B1947D' => 'Diamond',
  '0x9254Dc142566bBdefA0D44411D67cC47d3cE41Bf' => 'Diamond',
  '0x73018f39C3B9652601EA12BD7F42f3F921198C4A' => 'Diamond',
  '0xf7AF0b2277a6cAa0D8a3A1B1eA21F5C6E13dCA74' => 'Diamond',
  '0x77F7F8c188b3590FFA6426536b199fd84416D667' => 'Diamond',
  '0x56d53a4402A7b8F4aD027cfb421fF60e865F665b' => 'Diamond',
  '0x1F1ADCe71f9776cfBFdda7e87500b7c5FFAc4aDe' => 'Diamond',
  '0xAE60a8CBC37cfDE7aE14047C95BDCA81AA159ae0' => 'Diamond',
  '0xCB06551543A48e812D72E00BF88C4eF80a29208e' => 'Diamond',
  '0xa4f4d8b87AF48e72015b8d6446DF79033D41c427' => 'Diamond',
  '0xE456ff3e321be2675A5aEB56b3623586254C3419' => 'Diamond',
  '0x930DaB128EE82C5EAdaC116bd1A7f0618110AAdb' => 'Diamond',
  '0xFd3719bef669f5CeBBDA47B69E7814CF413e9517' => 'Diamond',
  '0x0705b3f95211B829aFEC43e3Dd3bb8BD4aCEca20' => 'Diamond',
  '0x668B6724F80591FC5482Aa628017Ee6338898E52' => 'Diamond',
  '0xBE8C93a8C18AF63aAB449994AFAc13E71240ccC4' => 'Diamond',
  '0x664fD1a25ECa57A02cc1d8249dee839b9FD7f755' => 'Diamond',
  '0x219d4Eb4B62972862a6B38D130427aA92eaE1a69' => 'Diamond',
  '0x50b13b54C917171a03CEb8216f3990535fC18097' => 'Diamond',
  '0xdDC570BAFD31c4a3545A3D742b9d022e78a9cB7F' => 'Diamond',
  '0x1F2b6dCff8b9c35EA8b4dAED42A7772eC1014276' => 'Diamond',
  '0x639FaD44e324329a726cc1845A4B7f3AB2ac1DAb' => 'Diamond',
  '0x04031ff90Daa5CE7fD90BE871933B46889653f99' => 'Diamond',
  '0xF84B9E57628Da8A8167c0f84C266F70Ec0863510' => 'Diamond',
  '0x1c0eC596303Ce6666f5a4D24c29e78Cf881cb5d3' => 'Diamond',
  '0xddF8eB9ABE01C6bAF5f1308A3173A69F95FA6cE2' => 'Diamond',
  '0x3749Ac4c96c9D92DFF122f7822e2Db9dD4cc7D15' => 'Diamond',
  '0x8a1CFc56923a2E02B9fEec98A3a4f9F6e3cEad6b' => 'Diamond',
  '0x06a6Aa05760613Ae19c73E66c545aB9d9Bb3f447' => 'Diamond',
  '0xD0B744A3CEE6C07814a889ecd4ebb3dA1D4252D1' => 'Diamond',
  '0x86DF6fB7D87Cad5683a4b148F1E5aFa6cb4633ED' => 'Diamond',
  '0x8F771a8E8BA888F2b06cC75747eE59FA9F7613E9' => 'Diamond',
  '0xd48d664965286ddea41e97784d079de981d099B6' => 'Diamond',
  '0x960cC811e5eF36760f5c679AF90e821B10385e04' => 'Diamond',
  '0x5dFc833B3E853f3e0d8d7B5BB2d2a66dD2B9d061' => 'Diamond',
  '0x0C1633e0BA164a9DEf56d86d7c46afCBe4d28a77' => 'Diamond',
  '0x4186C746D04cB987b795822d50ba6713851d1D2d' => 'Diamond',
  '0x3f80528837E792b23777977fA3AA7aD8A3eAb4e7' => 'Diamond',
  '0x05c254989526b621ceD514f5daD9123fE4B803Fd' => 'Diamond',
  '0x4a2Dd4b190B6Dee6939709278b659eD5Ffcb9d92' => 'Diamond',
  '0x04Be52434EB64aDdF373137310551ac42013677c' => 'Diamond',
  '0x681099977c323282BB30BE500139B0D9a4F8d9cB' => 'Diamond',
  '0x788A8A180F27f86B2148fbD7836ee6F0794D9296' => 'Diamond',
  '0x41DF0d7108aA67Aa76D8072a91Edc2FDdBc9783a' => 'Diamond',
  '0x23B97Fb0301883863bBBd8238D11fd51e95e7315' => 'Diamond',
  '0xF7e74A9a394226058E14BFc17deafDB76eeBbb25' => 'Diamond',
  '0x4c2A9100097DE6c2E12D576D72C195A1D74C1ee0' => 'Diamond',
  '0xf07ffbAf4a7999FfFAB3dDB47e7f74364B6Fd578' => 'Diamond',
  '0x0e905F4AcAbf5914b71d2FdE1427a46dD2a037c5' => 'Gold',
  '0x896aEa93ae29147E810059C75390EF4BbbEEbe29' => 'Gold',
  '0xa2676434160DF812594D53A51a63A46981411C2A' => 'Gold',
  '0x7B15A0A2bCB856c3BD5DCfA8798Eb29D5852D74d' => 'Gold',
  '0x2C7ED5966fA687e84d6837Ee2EFb29D2430112f5' => 'Gold',
  '0x20D236B1800f2B597Cd64D920b71D36b87991f30' => 'Gold',
  '0x2F595C056e785E13579128DF27cAD2968d034BA4' => 'Gold',
  '0xc2fF8b2Fb8082c811B310cA1c2D5cB235F3059bB' => 'Gold',
  '0xC5232A75366a9b40a616aA606636548db716f038' => 'Gold',
  '0xc2552747697ad2eea67Dd75E10F7933A62cEb64C' => 'Gold',
  '0xd1a0931de7a002D0D47117404BcBB3443faFb618' => 'Gold',
  '0x5055DefaCe85f86112E31A2b9694E1F0e9e23961' => 'Gold',
  '0x28beb6Fd342F7F41c0eBe086F78e43468c7A25C1' => 'Gold',
  '0xc9f52c0d4b3b4A35ba507d3AB99A1df0479018f7' => 'Gold',
  '0xA24db1Dc8CE36C960BC4517d4B1eB3f3e7c10FFF' => 'Gold',
  '0xC4A6312A5d5af3C03D546fA287fA1F883b3DB749' => 'Gold',
  '0xD23Cca1d288eADED8667a7d4765D0033641F4C60' => 'Gold',
  '0x7d3a7Ad44bFcFc0962709ECE4c149128717906B8' => 'Gold',
  '0xe01Ac109D51C4D30aACabB2CbbF7dD0dDEfE07A0' => 'Gold',
  '0x6C8a70bae601E97F2c885f640D5c35B2A1E805e3' => 'Gold',
  '0xF9E5B652bEae776dD717E5D2453CA1770a4f2C04' => 'Gold',
  '0x2b3CE0006E3d8F7aBadF8b0c3f68aB9cC3BfA49E' => 'Gold',
  '0xA4138f4f5ed55CFD883BF255BB7a99Df824f3159' => 'Gold',
  '0xaaD610d7afD65890784549761A45B76150E8Fad5' => 'Gold',
  '0x4eB68eCF77639E64C9ED0826978940Fec1BE9F3f' => 'Gold',
  '0x62c3852419a71d70Ff05fDEF83CDdABde533b3e4' => 'Gold',
  '0xADb84F68596f9E9ec7b79E15C61c02b7260B118e' => 'Gold',
  '0xCAAf10244E0F891a2C4f066F3d137914b47F1DCe' => 'Gold',
  '0x5E927d6d547254dcFaB48C18B2314757ab931150' => 'Gold',
  '0x621bc3df852E42e04196bc150D5ae92Dc11D4d8E' => 'Gold',
  '0x8b9470b0c7453544de3D464936153368bBe5eF03' => 'Gold',
  '0x263A13fbe5416661d8ff67C5D98624D1553900ae' => 'Gold',
  '0x451248229712D6F207ff9466d8D3A33CB59d103c' => 'Gold',
  '0xA44dd0CF1de1C461fDE0B7B92C374789B59784C9' => 'Gold',
  '0xfd645ae7FF27585A9A526CA27731271C8Cf8EA5c' => 'Gold',
  '0x09E3c4bf50a15225d4087FE089282CB5506DCce6' => 'Gold',
  '0x5CDBF2f8280959358b08c61c59c813021B8b5697' => 'Gold',
  '0xAc10E326fb497f22BE3bceefBD050e74CBc2e394' => 'Gold',
  '0xb7338951d8aaF32Ec72E72Aff962AA0Ee315CC6B' => 'Gold',
  '0x827c09e905C42a1cf30164d3fAb36fbE777e6fC4' => 'Gold',
  '0x8a9aecB126b8afaC9bDCA66d9E6Dbd505a261cA6' => 'Gold',
  '0xf17a0F334D43e343347335b0Fd673795617E9f1D' => 'Gold',
  '0xE729E82C62bA98Ee226DbF680803CFB4189DBE30' => 'Gold',
  '0x26260b28Ce15a5Aae6C61283693F6C677Db05953' => 'Gold',
  '0x26D03EE5591b3999Ef2DF9E01E5FE7a81f3a9E8a' => 'Gold',
  '0x3785F0272F5e19dD2c27977eC2D91195BB2AF801' => 'Gold',
  '0xC1196C46559203fe1e3ffE05009fdE59795A6385' => 'Gold',
  '0xB1D8AF0C0ef6AbC24f6642263A4CF15349c69310' => 'Gold',
  '0x17316883E44d24A2913F487A0c3d1054c5063d69' => 'Gold',
  '0x43cF6d975661F0ee3b4536A79C4B5b99E4f385b9' => 'Gold',
  '0xE2f9E2d5A58580bF1d695C0357ffFfc33C01b1d5' => 'Gold',
  '0x62Ec589cc2A82816599A7C6f9d145A62D90C17cB' => 'Gold',
  '0x0d36dD40FF721aC6E3f40FC3e36A5566609A03F1' => 'Gold',
  '0x034e1f7A66b582B68E511B325ED0cCB71bb4bc12' => 'Gold',
  '0xC33e3272D29d0cD5A7371a3114080FFdC333E892' => 'Gold',
  '0xE76a6619581dD7122Bc127a6F018BA035B182AAA' => 'Gold',
  '0xa748BA1119Fbd1D5077D7504552e53da969428cb' => 'Gold',
  '0x63fE428E1254665b799825Ad82b66F54130f700A' => 'Gold',
  '0x3BC78C5FB49F5A50aED564DABea2512B0fAd37E6' => 'Gold',
  '0x726d07eA7b1983f35055bB288Af78E7480bD1242' => 'Gold',
  '0x111C36a714282706208ebBe6E353C1a27e86F047' => 'Gold',
  '0x49525c292f006396aA78D3441Ee73ee992ef3183' => 'Gold',
  '0x3b5569A21010a908eA9aCaCCfa9a21dB41292b43' => 'Gold',
  '0x24AD53649Ac401138E31Cdc893cbE86073117be6' => 'Gold',
  '0x4ce7D126DCB606008A711B46c2d8DF50D88e4244' => 'Gold',
  '0xdD8E898B37EAF390CF53790f2ea2CABeDac7afA2' => 'Gold',
  '0x5af27e3663C17e1b641D2698a1270A1FC7A20C59' => 'Gold',
  '0x7342e456947e56250d2851FF467fA7743CCd9fbF' => 'Gold',
  '0xd973b5Ad311d8d84D90166b17335cACac1263bAB' => 'Gold',
  '0x8E118bbFfDCC009b1D46423868F7a49F8bcbBFcC' => 'Gold',
  '0xaec80B4fbE227198720b1d1B82a12968bAA0B144' => 'Gold',
  '0xB346d2E0685eBaC08Ed05Ce998622Fb523dA3245' => 'Gold',
  '0xae5A48E555f5DC7300896B7a12Ac64813BCcad8c' => 'Gold',
  '0x6BF7550BF182b8428e2cf4fC640ED884FF8C7a57' => 'Gold',
  '0xb6a960e019E2068084BdD23fbc26593bb1965CD0' => 'Gold',
  '0x56b64647B164cAb358263Ac6BE9b418f64ec0709' => 'Gold',
